test_clinic,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_test_observed,n_test_total
18,25,13,Repeated,1,56.70004081495061,0,108.6807792508613,165.38082006581192,137.67,137.0307996583366,17,13,21
18,50,8,HCP++,1,50.5507116680114,0,102.75722827899885,153.30793994701025,148.0,128.03258411300456,17,8,21
18,50,8,HCP.sample,1,48.12190065054676,0,106.59237769873215,154.7142783492789,148.0,128.03258411300456,17,8,21
18,50,8,HCP,1,56.858718070110285,0,110.76664493443707,167.62536300454735,148.0,139.1960039694922,17,8,21
18,50,8,Pooling,1,45.512878985387715,0,116.43956447679835,161.95244346218607,148.0,139.1960039694922,17,8,21
18,50,8,Subsampling,1,65.8012819298897,0,106.29536300454735,172.09664493443705,148.0,139.1960039694922,17,8,21
18,50,8,Repeated,1,55.0851391585271,0,111.65343439022867,166.73857354875577,148.0,139.1960039694922,17,8,21
18,75,6,HCP++,1,48.513069614426044,0,116.85228626861165,165.3653558830377,159.0,141.10882107582466,17,6,21
18,75,6,HCP.sample,0,47.84253116150745,0,100.5573378526353,148.39986901414275,159.0,141.10882107582466,17,6,21
18,75,6,HCP,1,56.858718070110285,0,125.36352793099189,182.22224600110218,159.0,153.79288696604704,17,6,21
18,75,6,Pooling,1,45.512878985387715,0,131.03644747335318,176.5493264587409,159.0,153.79288696604704,17,6,21
18,75,6,Subsampling,1,96.74236439549725,0,105.42170476829841,202.16406916379566,159.0,153.79288696604704,17,6,21
18,75,6,Repeated,1,59.39507226067724,0,124.09535083570842,183.49042309638565,159.0,153.79288696604704,17,6,21
20,0,7,HCP++,1,48.80524653037986,0,107.28772751116145,156.0929740415413,147.0,131.69035077635138,17,7,21
20,0,7,HCP.sample,1,44.89773014564555,0,103.45825281222862,148.35598295787418,147.0,131.69035077635138,17,7,21
20,0,7,HCP,1,56.858718070110285,0,114.27800623305279,171.13672430316308,147.0,142.70736526810794,17,7,21
20,0,7,Pooling,1,45.512878985387715,0,119.95092577541408,165.4638047608018,147.0,142.70736526810794,17,7,21
20,0,7,Subsampling,1,89.03121451608598,0,98.19175801006494,187.22297252615093,147.0,142.70736526810794,17,7,21
20,0,7,Repeated,1,56.70004081495061,0,114.35734486063264,171.05738567558325,147.0,142.70736526810794,17,7,21
20,25,15,HCP++,0,42.32846165417732,0,109.73431346588484,152.06277512006216,155.0,130.8985442929735,17,15,21
20,25,15,HCP.sample,0,43.05780346093104,0,110.84370649368967,153.9015099546207,155.0,130.8985442929735,17,15,21
20,25,15,HCP,1,56.858718070110285,0,111.30591866736535,168.16463673747563,155.0,139.7352777024205,17,15,21
20,25,15,Pooling,1,45.512878985387715,0,116.97883820972663,162.49171719511435,155.0,139.7352777024205,17,15,21
20,25,15,Subsampling,1,89.03121451608598,0,95.2196704443775,184.25088496046348,155.0,139.7352777024205,17,15,21
20,25,15,Repeated,1,56.858718070110285,0,111.30591866736535,168.16463673747563,155.0,139.7352777024205,17,15,21
20,50,10,HCP++,1,47.12368151226114,0,99.77486418169379,146.89854569395493,144.33,123.33670493782436,17,10,21
20,50,10,HCP.sample,1,39.402591860358044,0,107.42400242840516,146.8265942887632,144.33,123.33670493782436,17,10,21
20,50,10,HCP,1,56.858718070110285,0,109.81784753966105,166.67656560977133,144.33,138.2472065747162,17,10,21
20,50,10,Pooling,1,45.512878985387715,0,115.49076708202233,161.00364606741005,144.33,138.2472065747162,17,10,21
20,50,10,Subsampling,1,46.867145352290265,0,114.81363389857106,161.68077925086132,144.33,138.2472065747162,17,10,21
20,50,10,Repeated,1,59.39507226067724,0,108.54967044437757,167.9447427050548,144.33,138.2472065747162,17,10,21
20,75,12,HCP++,1,47.87788525699092,0,99.09121262102018,146.9690978780111,114.33,123.03015524951563,17,12,21
20,75,12,HCP.sample,1,42.05337346303742,0,112.11086944641497,154.16424290945238,114.33,123.03015524951563,17,12,21
20,75,12,HCP,1,56.858718070110285,0,109.00690959540799,165.86562766551828,114.33,137.43626863046313,17,12,21
20,75,12,Pooling,0,45.512878985387715,0,114.67982913776927,160.192708123157,114.33,137.43626863046313,17,12,21
20,75,12,Subsampling,1,83.64191670345669,0,95.61531027873478,179.25722698219147,114.33,137.43626863046313,17,12,21
20,75,12,Repeated,1,56.858718070110285,0,109.00690959540799,165.86562766551828,114.33,137.43626863046313,17,12,21
11,0,16,HCP++,1,43.21287373872882,0,98.8732888697569,142.08616260848572,132.0,120.47972573912132,17,16,21
11,0,16,HCP.sample,1,49.21798377889621,0,108.7065398608276,157.92452363972382,132.0,120.47972573912132,17,16,21
11,0,16,HCP,1,56.858718070110285,0,102.1139370692571,158.9726551393674,132.0,130.54329610431225,17,16,21
11,0,16,Pooling,1,45.512878985387715,0,107.78685661161839,153.2997355970061,132.0,130.54329610431225,17,16,21
11,0,16,Subsampling,1,35.333090404591985,0,112.87675090201625,148.20984130660824,132.0,130.54329610431225,17,16,21
11,0,16,Repeated,1,60.96878548391403,0,100.05890336235522,161.02768884626926,132.0,130.54329610431225,17,16,21
11,25,4,HCP++,1,78.13699565451901,0,97.26089766469124,175.39789331921025,107.67,136.32939549195075,17,4,21
11,25,4,HCP.sample,1,59.15962234308927,0,106.59338885354828,165.75301119663754,107.67,136.32939549195075,17,4,21
11,25,4,HCP,0,56.858718070110285,0,108.87310483460624,165.73182290471652,107.67,137.30246386966138,17,4,21
11,25,4,Pooling,0,45.512878985387715,0,114.54602437696752,160.05890336235524,107.67,137.30246386966138,17,4,21
11,25,4,Subsampling,0,39.245269463784155,0,117.6798291377693,156.92509860155346,107.67,137.30246386966138,17,4,21
11,25,4,Repeated,0,56.70004081495061,0,108.95244346218608,165.6524842771367,107.67,137.30246386966138,17,4,21
11,50,21,HCP++,0,42.4480862608504,0,121.38427641750022,163.83236267835062,121.0,147.71085238414918,17,21,21
11,50,21,HCP.sample,0,42.4480862608504,0,121.38427641750022,163.83236267835062,121.0,147.71085238414918,17,21,21
11,50,21,HCP,1,56.858718070110285,0,119.28149334909403,176.14021141920432,121.0,147.71085238414918,17,21,21
11,50,21,Pooling,0,45.512878985387715,0,124.95441289145532,170.46729187684303,121.0,147.71085238414918,17,21,21
11,50,21,Subsampling,1,53.71964179826591,0,120.85103148501622,174.57067328328213,121.0,147.71085238414918,17,21,21
11,50,21,Repeated,1,56.858718070110285,0,119.28149334909403,176.14021141920432,121.0,147.71085238414918,17,21,21
11,75,8,HCP++,1,48.80744293184216,0,104.07034469201997,152.87778762386213,148.0,128.47406615794105,17,8,21
11,75,8,HCP.sample,1,62.95647593404307,0,100.0970633953359,163.05353932937896,148.0,128.47406615794105,17,8,21
11,75,8,HCP,1,56.858718070110285,0,110.76664493443707,167.62536300454735,148.0,139.1960039694922,17,8,21
11,75,8,Pooling,1,45.512878985387715,0,116.43956447679835,161.95244346218607,148.0,139.1960039694922,17,8,21
11,75,8,Subsampling,1,96.74236439549725,0,90.82482177174359,187.56718616724083,148.0,139.1960039694922,17,8,21
11,75,8,Repeated,1,56.70004081495061,0,110.84598356201691,167.54602437696752,148.0,139.1960039694922,17,8,21
16,0,14,HCP++,1,47.11542451278058,0,107.73303547364745,154.84845998642803,137.33,131.29074773003774,17,14,20
16,0,14,HCP.sample,1,40.60187991530921,0,109.64358077587983,150.24546069118904,137.33,131.29074773003774,17,14,20
16,0,14,HCP,1,56.858718070110285,0,113.33326352799799,170.19198159810827,137.33,141.76262256305313,17,14,20
